hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status
8621EA,JA620J,JP,18.46,125.21,11583,227,818,0.0,745,JAL745,JL745,RJAA,NRT,RPLL,MNL,JAL,JL,B763,1647955710,en-route
71BF41,HL7741,KR,31.05,125.38,12192,199,779,0.0,7437,AAR7437,OZ7437,RKSI,ICN,VTBS,BKK,AAR,OZ,A333,1647955710,en-route
AB7613,N838AA,US,32.3,125.4,9189,43,1050,7.8,128,AAL128,AA128,ZSPD,PVG,RKSI,ICN,AAL,AA,B789,1647955710,en-route
7801BC,B-LDB,UK,33.44,125.96,8526,185,874,-0.30000000000000004,129,AHK129,LD129,RKSI,ICN,VHHH,HKG,DHK,LD,A306,1647955710,en-route
71D187,,GB,33.51,126.48,0,210,25,0.0,13,LGT13,6T13,RKPC,CJU,,,LGT,6T,,1647955710,en-route
71D167,,SC,33.51,126.49,0,70,37,0.0,14,SEY14,HM14,RKPC,CJU,,,SEY,HM,,1647955710,en-route
71D173,,MZ,33.51,126.49,0,73,40,0.0,52,LAM52,TM52,RKPC,CJU,,,LAM,TM,,1647955710,en-route
71D172,,MZ,33.51,126.49,0,56,25,0.0,14,LAM14,TM14,RKPC,CJU,,,LAM,TM,,1647955710,en-route
71D168,,SC,33.51,126.49,0,56,27,0.0,15,SEY15,HM15,RKPC,CJU,,,SEY,HM,,1647955710,en-route
71D183,,MX,33.51,126.49,0,264,24,0.0,16,ILS16,,RKPC,CJU,,,ILS,,,1647955710,en-route
8467D8,JA13XJ,JP,26.08,127.65,609,356,270,-1.3,925,JAL925,JL925,RJTT,HND,ROAH,OKA,JAL,JL,A359,1647955710,en-route
86796C,JA71AN,JP,26.3,127.85,1577,200,466,-7.5,1739,ANA1739,NH1739,RJBB,KIX,ROAH,OKA,ANA,NH,B738,1647955710,en-route
86CF5A,JA808A,JP,27.1,128.52,7886,213,798,-11.4,479,ANA479,NH479,RJTT,HND,ROAH,OKA,ANA,NH,B788,1647955710,en-route
A61C53,N493MC,US,30.33,129.29,10058,59,1072,0.0,5986,FDX5986,FX5986,VHHH,HKG,PANC,ANC,GTI,FX,B744,1647955710,en-route
8990D9,B-16710,TW,30.37,129.35,9448,59,1038,0.0,56,EVA56,BR56,RCTP,TPE,KORD,ORD,EVA,BR,B77W,1647955710,en-route
861B47,JA604F,JP,28.21,129.62,10972,231,748,0.0,8507,ANA8507,NH8507,RJAA,NRT,VTBS,BKK,ANA,NH,B763,1647955710,en-route
A75F15,N574UP,US,30.85,130.35,10058,60,1059,0.0,63,UPS63,5X63,VHHH,HKG,PANC,ANC,UPS,5X,B744,1647955710,en-route
